SL,Question,Answer,Topic,Subtopic,,,,
267,What is the full form of WHO?,World Health Organization,Abbr,,,,,
268,What is the full form of IMF?,International Monetary Fund,Abbr,,,,,
269,What does GDP stand for?,Gross Domestic Product,Abbr,,,,,
270,What does GPS stand for?,Global Positioning System,Abbr,,,,,
271,What does LASER stand for?,Light Amplification by Stimulated Emission of Radiation,Abbr,,,,,
272,What does RADAR stand for?,Radio Detection and Ranging,Abbr,,,,,
273,What does ATM stand for?,Automated Teller Machine,Abbr,,,,,
274,What does PDF stand for?,Portable Document Format,Abbr,,,,,
275,What does USB stand for?,Universal Serial Bus,Abbr,,,,,
276,What is the full form of SAARC?,South Asian Association for Regional Cooperation,Abbr,,,,,
277,What does NGO stand for?,Non-Governmental Organization,Abbr,,,,,
278,What is the full form of OPEC?,Organization of the Petroleum Exporting Countries,Abbr,,,,,
279,What is the full form of NATO?,North Atlantic Treaty Organization,Abbr,,,,,
280,On which date was the Bangladesh Air Force established?,28 September 1971,Armed Forces,,,,,
281,"What is the full form of BMA, the officer training institution of the Bangladesh Army?",Bangladesh Military Academy,Armed Forces,,,,,
282,In which town is the Bangladesh Military Academy located?,"Bhatiary, Chattogram",Armed Forces,,,,,
283,What is the highest military rank in the Bangladesh Army?,General,Armed Forces,,,,,
284,What is the current name of Bangladesh's paramilitary border-guarding force?,Border Guard Bangladesh (BGB),Armed Forces,,,,,
285,What was the former name of the Border Guard Bangladesh (BGB)?,Bangladesh Rifles (BDR),Armed Forces,,,,,
286,Which force is responsible for Bangladesh's coastal security duties?,Bangladesh Coast Guard,Armed Forces,,,,,
287,In which year was the Bangladesh Coast Guard established?,1995,Armed Forces,,,,,
288,"What is the highest gallantry award of the Bangladesh armed forces, given for the Liberation War?",Bir Sreshtho,Armed Forces,,,,,
289,How many freedom fighters were awarded the title 'Bir Sreshtho'?,7,Armed Forces,,,,,
290,Who wrote the novel 'Pather Panchali'?,Bibhutibhushan Bandyopadhyay,Art & Literature,,,,,
291,Who is known as the 'Bidrohi Kobi' (Rebel Poet) of Bangla literature?,Kazi Nazrul Islam,Art & Literature,,,,,
292,Who wrote Bangladesh's national anthem 'Amar Sonar Bangla'?,Rabindranath Tagore,Art & Literature,,,,,
293,Who wrote India's national anthem 'Jana Gana Mana'?,Rabindranath Tagore,Art & Literature,,,,,
294,Who was the first Bengali to win the Nobel Prize in Literature?,Rabindranath Tagore,Art & Literature,,,,,
295,Who wrote the epic poem 'Meghnad Badh Kavya'?,Michael Madhusudan Dutt,Art & Literature,,,,,
296,Who wrote the novel 'Devdas'?,Sarat Chandra Chattopadhyay,Art & Literature,,,,,
297,Who is regarded as the national poet of Bangladesh?,Kazi Nazrul Islam,Art & Literature,,,,,
298,Who wrote 'War and Peace'?,Leo Tolstoy,Art & Literature,,,,,
299,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Art & Literature,,,,,
300,Who is the author of 'Pride and Prejudice'?,Jane Austen,Art & Literature,,,,,
301,Who wrote the novel '1984'?,George Orwell,Art & Literature,,,,,
302,Which Bengali writer created the detective character 'Feluda'?,Satyajit Ray,Art & Literature,,,,,
303,"Who wrote 'Anandamath', which contains the song 'Vande Mataram'?",Bankim Chandra Chattopadhyay,Art & Literature,,,,,
304,Who painted the 'Mona Lisa'?,Leonardo da Vinci,Art & Literature,,,,,
305,Which is the largest continent by area?,Asia,Geography,,,,,
306,Which is the smallest continent by area?,Australia,Geography,,,,,
307,Which is the largest ocean in the world?,The Pacific Ocean,Geography,,,,,
308,Which mountain range is generally regarded as the boundary between Europe and Asia?,The Ural Mountains,Geography,,,,,
309,What is the highest mountain in the world?,Mount Everest,Geography,,,,,
310,Which is the largest country in the world by area?,Russia,Geography,,,,,
311,Which is the smallest country in the world by area?,Vatican City,Geography,,,,,
312,Which strait separates Asia and North America?,The Bering Strait,Geography,,,,,
313,What is the capital of Australia?,Canberra,Geography,,,,,
314,What is the capital of Canada?,Ottawa,Geography,,,,,
315,Which imaginary line divides the Earth into Northern and Southern Hemispheres?,The Equator,Geography,,,,,
316,The Sundarbans is the largest of what kind of forest in the world?,Mangrove forest,Geography,,,,,
317,Which sea is known as the saltiest body of water in the world?,The Dead Sea,Geography,,,,,
318,What is the deepest known point in the world's oceans called?,"The Challenger Deep, in the Mariana Trench",Geography,,,,,
319,What is the largest hot desert in the world?,The Sahara Desert,Geography,,,,,
320,In which year did World War I begin?,1914,History,,,,,
321,In which year did World War II end?,1945,History,,,,,
322,Who was the first President of the United States?,George Washington,History,,,,,
323,On which date is Bangladesh's Independence Day celebrated?,26 March,History,,,,,
324,On which date is Victory Day of Bangladesh celebrated?,16 December,History,,,,,
325,Who declared the independence of Bangladesh on 26 March 1971?,Sheikh Mujibur Rahman,History,,,,,
326,Who was the first Mughal emperor?,Babur,History,,,,,
327,In which year did the French Revolution begin?,1789,History,,,,,
328,Who was the first Emperor of Rome?,Augustus,History,,,,,
329,In which year did the Berlin Wall fall?,1989,History,,,,,
330,Which explorer's expedition was the first to circumnavigate the globe?,Ferdinand Magellan's expedition,History,,,,,
331,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,History,,,,,
332,In which year did India gain independence from British rule?,1947,History,,,,,
333,Who founded the Mauryan Empire?,Chandragupta Maurya,History,,,,,
334,"Who was the greatest emperor of the Maurya dynasty, famous for embracing Buddhism after the Kalinga war?",Ashoka the Great,History,,,,,
335,Who is known as the father of computers?,Charles Babbage,ICT,,,,,
336,Who is known as the father of the World Wide Web?,Tim Berners-Lee,ICT,,,,,
337,What does HTTP stand for?,HyperText Transfer Protocol,ICT,,,,,
338,What does URL stand for?,Uniform Resource Locator,ICT,,,,,
339,What does CPU stand for?,Central Processing Unit,ICT,,,,,
340,What does RAM stand for?,Random Access Memory,ICT,,,,,
341,Who co-founded Microsoft along with Bill Gates?,Paul Allen,ICT,,,,,
342,Which programming language is named after a snake?,Python,ICT,,,,,
343,Who developed the Linux kernel?,Linus Torvalds,ICT,,,,,
344,What does HTML stand for?,HyperText Markup Language,ICT,,,,,
345,What does IP stand for in the term 'IP address'?,Internet Protocol,ICT,,,,,
346,Who is regarded as one of the founding fathers of Artificial Intelligence as a field?,John McCarthy,ICT,,,,,
347,What does SQL stand for?,Structured Query Language,ICT,,,,,
348,"What was the name of one of the earliest general-purpose electronic computers, built in the 1940s?",ENIAC,ICT,,,,,
349,How many bits make up one byte?,8 bits,ICT,,,,,
350,Who is known as the father of geometry?,Euclid,Math,,,,,
351,What is the approximate value of Pi?,3.14159,Math,,,,,
352,Who developed calculus independently alongside Isaac Newton?,Gottfried Wilhelm Leibniz,Math,,,,,
353,What is the sum of the interior angles of a triangle?,180 degrees,Math,,,,,
354,What term describes a number greater than 1 that has no positive divisors other than 1 and itself?,A prime number,Math,,,,,
355,Who is credited with the theorem relating the sides of a right-angled triangle?,Pythagoras,Math,,,,,
356,What is the approximate value of the mathematical constant 'e'?,2.71828,Math,,,,,
357,What is the square root of 144?,12,Math,,,,,
358,What is a triangle with all three sides equal called?,An equilateral triangle,Math,,,,,
359,Which ancient Indian mathematician is credited with formalizing the concept of zero as a number?,Brahmagupta,Math,,,,,
360,What is a polygon with eight sides called?,An octagon,Math,,,,,
361,What branch of mathematics is concerned with the study of shapes and space?,Geometry,Math,,,,,
362,"What term describes numbers that cannot be expressed as a simple fraction, such as Pi?",Irrational numbers,Math,,,,,
363,"Who wrote 'Elements', one of the most influential works in the history of mathematics?",Euclid,Math,,,,,
364,What is the result of any real number multiplied by zero?,Zero,Math,,,,,
365,What term describes a government where power is vested in elected representatives of the people?,Democracy,Politics,,,,,
366,Which country's parliament is often called the 'Mother of Parliaments'?,The United Kingdom,Politics,,,,,
367,What is the study of government and political systems called?,Political Science,Politics,,,,,
368,In which city is United Nations headquarters located?,New York City,Politics,,,,,
369,What is the title usually given to the head of government in a parliamentary system?,Prime Minister,Politics,,,,,
370,"Which historic document, signed in 1215 in England, is regarded as a foundation of constitutional government?",The Magna Carta,Politics,,,,,
371,Who co-authored 'The Communist Manifesto' along with Karl Marx?,Friedrich Engels,Politics,,,,,
372,"What political philosophy advocates for a classless, stateless society with communal ownership?",Communism,Politics,,,,,
373,"What is the principle called that divides government power among legislative, executive, and judicial branches?",Separation of powers,Politics,,,,,
374,In which year was the Universal Declaration of Human Rights adopted by the UN?,1948,Politics,,,,,
375,Which body of the United Nations is primarily responsible for maintaining international peace and security?,The UN Security Council,Politics,,,,,
376,How many permanent members does the UN Security Council have?,5,Politics,,,,,
377,What is the lower house of the UK Parliament called?,The House of Commons,Politics,,,,,
378,What is the upper house of the UK Parliament called?,The House of Lords,Politics,,,,,
379,What is the name of Bangladesh's national parliament?,Jatiya Sangsad,Politics,,,,,
380,What is the chemical symbol for gold?,Au,Science,,,,,
381,What is the powerhouse of the cell called?,Mitochondria,Science,,,,,
382,Which gas do plants absorb from the atmosphere for photosynthesis?,Carbon dioxide,Science,,,,,
383,Who developed the theory of general and special relativity?,Albert Einstein,Science,,,,,
384,Who proposed the theory of evolution by natural selection?,Charles Darwin,Science,,,,,
385,What is the hardest naturally occurring substance on Earth?,Diamond,Science,,,,,
386,What is the chemical formula for common table salt?,NaCl,Science,,,,,
387,What is the process by which green plants make their own food using sunlight called?,Photosynthesis,Science,,,,,
388,"What is the boiling point of water at sea level, in degrees Celsius?",100 degrees Celsius,Science,,,,,
389,What is the SI unit of force?,The Newton,Science,,,,,
390,What is the SI unit of energy?,The Joule,Science,,,,,
391,Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Science,,,,,
392,Who is credited with discovering penicillin?,Alexander Fleming,Science,,,,,
393,Which planet is closest to the Sun?,Mercury,Science,,,,,
394,Which is the largest planet in the solar system?,Jupiter,Science,,,,,
395,How many players from each side are on the field in a game of cricket?,11,Sports,,,,,
396,How many players from each team are on the field in football (soccer)?,11,Sports,,,,,
397,In which country did the ancient Olympic Games originate?,Greece,Sports,,,,,
398,In which year were the first modern Olympic Games held?,1896,Sports,,,,,
399,How many interlocking rings are there in the Olympic flag?,5,Sports,,,,,
400,What is the national sport of Bangladesh?,Kabaddi (Ha-du-du),Sports,,,,,
401,How many players from each team are on the court in basketball?,5,Sports,,,,,
402,"In cricket, what is a batsman's score of zero called?",A duck,Sports,,,,,
403,"In tennis, what is a score of zero called?",Love,Sports,,,,,
404,In which sport is the term 'checkmate' used?,Chess,Sports,,,,,
405,What is the maximum possible score in a single game of ten-pin bowling?,300,Sports,,,,,
406,How many holes are there in a standard round of golf?,18,Sports,,,,,
407,Hitting the ball out of the ground for the maximum runs in cricket is called what?,A six,Sports,,,,,
408,How many players make up a standard rugby union team?,15,Sports,,,,,
409,The 'Ashes' is a historic cricket rivalry contested between which two countries?,England and Australia,Sports,,,,,
410,How many human Gurus are recognized in the Sikh tradition?,10,Religion,Sikhism,,,,
411,Who was the first Guru of Sikhism?,Guru Nanak Dev Ji,Religion,Sikhism,,,,
412,Who was the tenth and last human Guru of Sikhism?,Guru Gobind Singh,Religion,Sikhism,,,,
413,What is the Sikh community kitchen that serves free meals to all called?,Langar,Religion,Sikhism,,,,
414,"What title, meaning 'lion', is given to initiated Sikh men?",Singh,Religion,Sikhism,,,,
415,"What title, meaning 'princess', is given to initiated Sikh women?",Kaur,Religion,Sikhism,,,,
416,In which region of the Indian subcontinent did Sikhism originate?,Punjab,Religion,Sikhism,,,,
417,What is the turban worn by Sikh men called?,Dastar,Religion,Sikhism,,,,
418,Which Sikh festival celebrates the founding of the Khalsa?,Vaisakhi,Religion,Sikhism,,,,
419,What is the Jewish New Year called?,Rosh Hashanah,Religion,Judaism,,,,
420,What is the Jewish Day of Atonement called?,Yom Kippur,Religion,Judaism,,,,
421,What is the Jewish coming-of-age ceremony for a boy called?,Bar Mitzvah,Religion,Judaism,,,,
422,What is the Jewish coming-of-age ceremony for a girl called?,Bat Mitzvah,Religion,Judaism,,,,
423,What is the set of Jewish dietary laws called?,Kashrut (Kosher laws),Religion,Judaism,,,,
424,What is the seven-branched candelabrum used in ancient Jewish worship called?,Menorah,Religion,Judaism,,,,
425,"What is the Jewish festival of lights, commemorating the rededication of the Second Temple?",Hanukkah,Religion,Judaism,,,,
426,Which wall in Jerusalem is considered the holiest site accessible to Jews for prayer?,The Western Wall,Religion,Judaism,,,,
427,"Who is the Hindu god of destruction, part of the Trimurti?",Shiva,Religion,Hinduism,,,,
428,"Who is the Hindu god of preservation, part of the Trimurti?",Vishnu,Religion,Hinduism,,,,
429,"Who is the Hindu god of creation, part of the Trimurti?",Brahma,Religion,Hinduism,,,,
430,"Which Hindu festival celebrates the triumph of good over evil, marking Rama's victory over Ravana?",Dussehra,Religion,Hinduism,,,,
431,What is the sacred syllable considered the primordial sound in Hindu tradition?,Om (Aum),Religion,Hinduism,,,,
432,Which Hindu scripture records the conversation between Lord Krishna and the warrior Arjuna?,The Bhagavad Gita,Religion,Hinduism,,,,
433,"What is the practice of physical, mental, and spiritual disciplines in Hindu tradition called?",Yoga,Religion,Hinduism,,,,
434,Which river is considered the holiest in Hinduism?,The Ganges (Ganga),Religion,Hinduism,,,,
435,Who founded Buddhism?,"Siddhartha Gautama, the Buddha",Religion,Buddhism,,,,
436,Under which type of tree is the Buddha said to have attained enlightenment?,The Bodhi tree,Religion,Buddhism,,,,
437,What are the basic ethical guidelines for lay Buddhists called?,The Five Precepts,Religion,Buddhism,,,,
438,What is the path prescribed by the Buddha to end suffering called?,The Noble Eightfold Path,Religion,Buddhism,,,,
439,What is a dome-shaped Buddhist shrine or monument called?,A stupa,Religion,Buddhism,,,,
440,What is the Buddhist practice of meditative concentration called?,Dhyana (meditation),Religion,Buddhism,,,,
441,What is the Christian holy book called?,The Bible,Religion,Christianity,,,,
442,Which Christian holiday celebrates the birth of Jesus Christ?,Christmas,Religion,Christianity,,,,
443,What are Jesus's twelve closest followers called?,The Apostles (Disciples),Religion,Christianity,,,,
444,What is the Christian rite of initiation involving water called?,Baptism,Religion,Christianity,,,,
445,What is the last meal Jesus shared with his disciples before his crucifixion called?,The Last Supper,Religion,Christianity,,,,
446,"Who, among Jesus's disciples, is said to have betrayed him to the Roman authorities?",Judas Iscariot,Religion,Christianity,,,,
447,What is the Islamic holy book called?,The Quran,Religion,Islam,,,,
448,What is the Muslim pilgrimage to Mecca called?,Hajj,Religion,Islam,,,,
449,What is the Islamic month of fasting called?,Ramadan,Religion,Islam,,,,
450,What is the Islamic call to prayer called?,Adhan,Religion,Islam,,,,
451,What is the direction Muslims face during prayer called?,Qibla,Religion,Islam,,,,
452,What are the five basic acts of worship obligatory for Muslims collectively called?,The Five Pillars of Islam,Religion,Islam,,,,
